C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_48_738.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_48_738.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_48_738.jpg,0,0,0,7.66299
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_48_844.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_48_844.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_48_844.jpg,0,0,0,7.583029
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_48_963.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_48_963.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_48_963.jpg,0,0,0,7.486103
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_082.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_082.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_082.jpg,0,0,0,7.38984
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_205.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_205.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_205.jpg,0,0,0,7.29473
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_329.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_329.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_329.jpg,0,0,0,7.185234
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_445.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_445.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_445.jpg,0,0,0,7.107965
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_565.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_565.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_565.jpg,0,0,0,7.016261
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_686.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_686.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_686.jpg,0,0,0,6.925661
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_811.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_811.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_811.jpg,0,0,0,6.823913
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_49_939.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_49_939.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_49_939.jpg,0,0,0,6.743258
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_50_065.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_50_065.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_50_065.jpg,0,0,0,6.663464
C:\Users\reach\Desktop\term1-simulator-windows\IMG\center_2021_08_08_06_34_50_193.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\left_2021_08_08_06_34_50_193.jpg,C:\Users\reach\Desktop\term1-simulator-windows\IMG\right_2021_08_08_06_34_50_193.jpg,0,0,0,6.569276
